country	year	low	high	width	share	cumul	# sptinc992j
SI	2012	0.00000	0.50000	0.50000	0.24558	0.24558
SI	2012	0.50000	0.90000	0.40000	0.44894	0.69452
SI	2012	0.90000	1.00000	0.10000	0.30548	1.00000
SI	2011	0.00000	0.50000	0.50000	0.26118	0.26118
SI	2011	0.50000	0.90000	0.40000	0.44233	0.70350
SI	2011	0.90000	1.00000	0.10000	0.29650	1.00000
SI	2010	0.00000	0.50000	0.50000	0.25605	0.25605
SI	2010	0.50000	0.90000	0.40000	0.43996	0.69601
SI	2010	0.90000	1.00000	0.10000	0.30399	1.00000
SI	2009	0.00000	0.50000	0.50000	0.26174	0.26174
SI	2009	0.50000	0.90000	0.40000	0.43617	0.69792
SI	2009	0.90000	1.00000	0.10000	0.30208	1.00000
SI	2008	0.00000	0.50000	0.50000	0.27059	0.27059
SI	2008	0.50000	0.90000	0.40000	0.43090	0.70149
SI	2008	0.90000	1.00000	0.10000	0.29851	1.00000
SI	2007	0.00000	0.50000	0.50000	0.26978	0.26978
SI	2007	0.50000	0.90000	0.40000	0.43156	0.70134
SI	2007	0.90000	1.00000	0.10000	0.29866	1.00000
SI	2006	0.00000	0.50000	0.50000	0.25623	0.25623
SI	2006	0.50000	0.90000	0.40000	0.44046	0.69668
SI	2006	0.90000	1.00000	0.10000	0.30332	1.00000
SI	2005	0.00000	0.50000	0.50000	0.24499	0.24499
SI	2005	0.50000	0.90000	0.40000	0.44744	0.69243
SI	2005	0.90000	1.00000	0.10000	0.30757	1.00000
SI	2004	0.00000	0.50000	0.50000	0.23670	0.23670
SI	2004	0.50000	0.90000	0.40000	0.45593	0.69263
SI	2004	0.90000	1.00000	0.10000	0.30737	1.00000
SI	2003	0.00000	0.50000	0.50000	0.23535	0.23535
SI	2003	0.50000	0.90000	0.40000	0.45862	0.69397
SI	2003	0.90000	1.00000	0.10000	0.30603	1.00000
SI	2002	0.00000	0.50000	0.50000	0.24289	0.24289
SI	2002	0.50000	0.90000	0.40000	0.45446	0.69735
SI	2002	0.90000	1.00000	0.10000	0.30265	1.00000
SI	2001	0.00000	0.50000	0.50000	0.25517	0.25517
SI	2001	0.50000	0.90000	0.40000	0.44976	0.70492
SI	2001	0.90000	1.00000	0.10000	0.29508	1.00000
SI	2000	0.00000	0.50000	0.50000	0.24604	0.24604
SI	2000	0.50000	0.90000	0.40000	0.45374	0.69978
SI	2000	0.90000	1.00000	0.10000	0.30022	1.00000
SI	1999	0.00000	0.50000	0.50000	0.23892	0.23892
SI	1999	0.50000	0.90000	0.40000	0.45842	0.69734
SI	1999	0.90000	1.00000	0.10000	0.30266	1.00000
SI	1998	0.00000	0.50000	0.50000	0.24201	0.24201
SI	1998	0.50000	0.90000	0.40000	0.46124	0.70325
SI	1998	0.90000	1.00000	0.10000	0.29675	1.00000
SI	1997	0.00000	0.50000	0.50000	0.24708	0.24708
SI	1997	0.50000	0.90000	0.40000	0.45842	0.70550
SI	1997	0.90000	1.00000	0.10000	0.29450	1.00000
SI	1996	0.00000	0.50000	0.50000	0.23286	0.23286
SI	1996	0.50000	0.90000	0.40000	0.46826	0.70112
SI	1996	0.90000	1.00000	0.10000	0.29888	1.00000
SI	1995	0.00000	0.50000	0.50000	0.24094	0.24094
SI	1995	0.50000	0.90000	0.40000	0.46931	0.71025
SI	1995	0.90000	1.00000	0.10000	0.28975	1.00000
SI	1994	0.00000	0.50000	0.50000	0.29358	0.29358
SI	1994	0.50000	0.90000	0.40000	0.43749	0.73107
SI	1994	0.90000	1.00000	0.10000	0.26893	1.00000
SI	1993	0.00000	0.50000	0.50000	0.25262	0.25262
SI	1993	0.50000	0.90000	0.40000	0.47022	0.72284
SI	1993	0.90000	1.00000	0.10000	0.27716	1.00000
SI	1992	0.00000	0.50000	0.50000	0.31835	0.31835
SI	1992	0.50000	0.90000	0.40000	0.43830	0.75666
SI	1992	0.90000	1.00000	0.10000	0.24334	1.00000
